op1,op2,n1,n2,n3,intermediate,answer,eq1,eqfull
//,+,1,1,7,1,8,(1//1),(1//1)+7=
//,+,7,4,4,1,5,(7//4),(7//4)+4=
+,*,2,5,2,7,14,(2+5),(2+5)*2=
-,-,1,7,6,-6,-12,(1-7),(1-7)-6=
+,//,5,4,9,9,1,(5+4),(5+4)//9=
-,//,1,4,2,-3,-2,(1-4),(1-4)//2=
//,*,1,5,1,0,0,(1//5),(1//5)*1=
//,*,9,1,5,9,45,(9//1),(9//1)*5=
*,-,9,6,5,54,49,(9*6),(9*6)-5=
-,-,6,8,7,-2,-9,(6-8),(6-8)-7=
-,*,9,7,1,2,2,(9-7),(9-7)*1=
*,//,1,7,9,7,0,(1*7),(1*7)//9=
//,*,4,6,8,0,0,(4//6),(4//6)*8=
//,*,5,5,3,1,3,(5//5),(5//5)*3=
-,+,6,2,8,4,12,(6-2),(6-2)+8=
//,*,7,5,2,1,2,(7//5),(7//5)*2=
-,//,8,2,1,6,6,(8-2),(8-2)//1=
*,//,2,7,5,14,2,(2*7),(2*7)//5=
*,-,6,9,2,54,52,(6*9),(6*9)-2=
*,*,3,6,1,18,18,(3*6),(3*6)*1=
+,+,6,3,3,9,12,(6+3),(6+3)+3=
+,+,6,3,7,9,16,(6+3),(6+3)+7=
//,//,5,5,9,1,0,(5//5),(5//5)//9=
-,*,3,2,2,1,2,(3-2),(3-2)*2=
//,*,3,4,3,0,0,(3//4),(3//4)*3=
+,//,6,5,8,11,1,(6+5),(6+5)//8=
//,+,5,3,5,1,6,(5//3),(5//3)+5=
+,+,5,1,4,6,10,(5+1),(5+1)+4=
//,//,9,5,3,1,0,(9//5),(9//5)//3=
-,//,1,7,5,-6,-2,(1-7),(1-7)//5=
-,//,3,7,9,-4,-1,(3-7),(3-7)//9=
+,//,9,4,1,13,13,(9+4),(9+4)//1=
//,-,2,1,8,2,-6,(2//1),(2//1)-8=
//,//,8,1,1,8,8,(8//1),(8//1)//1=
//,+,8,3,5,2,7,(8//3),(8//3)+5=
*,-,8,9,5,72,67,(8*9),(8*9)-5=
+,*,6,2,9,8,72,(6+2),(6+2)*9=
*,+,9,8,9,72,81,(9*8),(9*8)+9=
+,*,8,9,5,17,85,(8+9),(8+9)*5=
*,-,4,8,2,32,30,(4*8),(4*8)-2=
//,*,6,3,4,2,8,(6//3),(6//3)*4=
+,*,3,2,3,5,15,(3+2),(3+2)*3=
*,-,3,9,3,27,24,(3*9),(3*9)-3=
*,-,7,5,8,35,27,(7*5),(7*5)-8=
//,+,7,6,8,1,9,(7//6),(7//6)+8=
*,*,8,6,1,48,48,(8*6),(8*6)*1=
*,//,4,5,7,20,2,(4*5),(4*5)//7=
-,-,3,5,8,-2,-10,(3-5),(3-5)-8=
*,//,3,7,6,21,3,(3*7),(3*7)//6=
*,+,8,1,9,8,17,(8*1),(8*1)+9=
*,-,4,3,9,12,3,(4*3),(4*3)-9=
+,//,9,6,5,15,3,(9+6),(9+6)//5=
//,-,6,6,1,1,0,(6//6),(6//6)-1=
+,+,3,9,4,12,16,(3+9),(3+9)+4=
-,*,8,5,9,3,27,(8-5),(8-5)*9=
-,//,6,3,7,3,0,(6-3),(6-3)//7=
*,//,8,8,8,64,8,(8*8),(8*8)//8=
*,*,1,2,7,2,14,(1*2),(1*2)*7=
-,-,4,2,6,2,-4,(4-2),(4-2)-6=
//,-,1,6,7,0,-7,(1//6),(1//6)-7=
+,-,8,6,9,14,5,(8+6),(8+6)-9=
//,*,4,5,4,0,0,(4//5),(4//5)*4=
+,//,8,2,9,10,1,(8+2),(8+2)//9=
+,//,6,2,3,8,2,(6+2),(6+2)//3=
//,//,3,8,9,0,0,(3//8),(3//8)//9=
-,//,1,8,1,-7,-7,(1-8),(1-8)//1=
//,-,5,3,6,1,-5,(5//3),(5//3)-6=
*,*,8,4,2,32,64,(8*4),(8*4)*2=
+,-,2,9,3,11,8,(2+9),(2+9)-3=
*,-,1,8,8,8,0,(1*8),(1*8)-8=
//,+,4,2,9,2,11,(4//2),(4//2)+9=
+,+,3,3,2,6,8,(3+3),(3+3)+2=
*,*,6,2,1,12,12,(6*2),(6*2)*1=
*,//,5,2,8,10,1,(5*2),(5*2)//8=
-,-,1,2,5,-1,-6,(1-2),(1-2)-5=
*,-,1,3,3,3,0,(1*3),(1*3)-3=
-,*,6,4,9,2,18,(6-4),(6-4)*9=
//,-,4,3,5,1,-4,(4//3),(4//3)-5=
-,//,4,6,6,-2,-1,(4-6),(4-6)//6=
+,//,8,3,9,11,1,(8+3),(8+3)//9=
//,+,3,5,1,0,1,(3//5),(3//5)+1=
-,-,8,4,2,4,2,(8-4),(8-4)-2=
//,-,1,1,7,1,-6,(1//1),(1//1)-7=
-,+,2,8,7,-6,1,(2-8),(2-8)+7=
//,+,2,4,1,0,1,(2//4),(2//4)+1=
+,//,5,9,9,14,1,(5+9),(5+9)//9=
+,-,8,1,2,9,7,(8+1),(8+1)-2=
*,-,6,7,8,42,34,(6*7),(6*7)-8=
-,*,8,6,7,2,14,(8-6),(8-6)*7=
//,+,5,1,9,5,14,(5//1),(5//1)+9=
//,//,8,8,3,1,0,(8//8),(8//8)//3=
*,-,5,3,2,15,13,(5*3),(5*3)-2=
-,*,4,4,8,0,0,(4-4),(4-4)*8=
//,-,5,6,8,0,-8,(5//6),(5//6)-8=
-,+,1,3,5,-2,3,(1-3),(1-3)+5=
//,-,7,8,2,0,-2,(7//8),(7//8)-2=
//,-,4,4,9,1,-8,(4//4),(4//4)-9=
*,-,1,9,6,9,3,(1*9),(1*9)-6=
//,-,1,6,3,0,-3,(1//6),(1//6)-3=
+,+,9,4,6,13,19,(9+4),(9+4)+6=
+,*,5,4,9,9,81,(5+4),(5+4)*9=
*,*,5,4,2,20,40,(5*4),(5*4)*2=
//,+,4,5,2,0,2,(4//5),(4//5)+2=
-,//,3,6,2,-3,-2,(3-6),(3-6)//2=
*,//,6,3,3,18,6,(6*3),(6*3)//3=
*,+,9,5,9,45,54,(9*5),(9*5)+9=
+,//,8,7,8,15,1,(8+7),(8+7)//8=
//,*,4,9,5,0,0,(4//9),(4//9)*5=
//,*,6,9,4,0,0,(6//9),(6//9)*4=
-,//,7,2,2,5,2,(7-2),(7-2)//2=
//,*,7,8,4,0,0,(7//8),(7//8)*4=
//,-,4,5,8,0,-8,(4//5),(4//5)-8=
*,*,1,3,9,3,27,(1*3),(1*3)*9=
*,//,5,4,2,20,10,(5*4),(5*4)//2=
//,*,8,1,2,8,16,(8//1),(8//1)*2=
+,*,3,7,7,10,70,(3+7),(3+7)*7=
+,-,4,6,4,10,6,(4+6),(4+6)-4=
//,-,6,9,1,0,-1,(6//9),(6//9)-1=
-,+,3,1,9,2,11,(3-1),(3-1)+9=
-,//,4,3,6,1,0,(4-3),(4-3)//6=
+,//,8,1,7,9,1,(8+1),(8+1)//7=
-,*,2,4,1,-2,-2,(2-4),(2-4)*1=
//,+,9,5,9,1,10,(9//5),(9//5)+9=
*,//,2,1,9,2,0,(2*1),(2*1)//9=
*,*,4,8,5,32,160,(4*8),(4*8)*5=
*,//,3,2,1,6,6,(3*2),(3*2)//1=
+,//,6,7,3,13,4,(6+7),(6+7)//3=
*,//,7,4,4,28,7,(7*4),(7*4)//4=
-,+,6,8,4,-2,2,(6-8),(6-8)+4=
-,//,3,6,8,-3,-1,(3-6),(3-6)//8=
*,//,5,6,7,30,4,(5*6),(5*6)//7=
*,-,3,3,2,9,7,(3*3),(3*3)-2=
+,*,8,7,8,15,120,(8+7),(8+7)*8=
//,//,4,7,7,0,0,(4//7),(4//7)//7=
//,//,7,9,4,0,0,(7//9),(7//9)//4=
-,//,8,7,7,1,0,(8-7),(8-7)//7=
+,*,7,1,9,8,72,(7+1),(7+1)*9=
//,-,6,1,1,6,5,(6//1),(6//1)-1=
*,+,5,6,2,30,32,(5*6),(5*6)+2=
//,//,5,9,3,0,0,(5//9),(5//9)//3=
-,+,4,3,8,1,9,(4-3),(4-3)+8=
*,-,4,6,2,24,22,(4*6),(4*6)-2=
*,-,2,4,7,8,1,(2*4),(2*4)-7=
+,-,3,4,3,7,4,(3+4),(3+4)-3=
-,-,9,8,4,1,-3,(9-8),(9-8)-4=
//,+,4,4,3,1,4,(4//4),(4//4)+3=
+,//,9,3,6,12,2,(9+3),(9+3)//6=
-,//,8,4,9,4,0,(8-4),(8-4)//9=
*,+,8,5,2,40,42,(8*5),(8*5)+2=
//,-,1,4,8,0,-8,(1//4),(1//4)-8=
-,//,2,2,1,0,0,(2-2),(2-2)//1=
*,+,6,6,4,36,40,(6*6),(6*6)+4=
//,-,6,5,1,1,0,(6//5),(6//5)-1=
-,//,8,6,5,2,0,(8-6),(8-6)//5=
+,-,3,4,5,7,2,(3+4),(3+4)-5=
*,//,9,1,1,9,9,(9*1),(9*1)//1=
*,-,5,6,9,30,21,(5*6),(5*6)-9=
*,+,7,1,7,7,14,(7*1),(7*1)+7=
+,+,9,2,9,11,20,(9+2),(9+2)+9=
+,+,8,7,4,15,19,(8+7),(8+7)+4=
+,+,2,7,5,9,14,(2+7),(2+7)+5=
+,//,6,3,7,9,1,(6+3),(6+3)//7=
+,-,9,6,4,15,11,(9+6),(9+6)-4=
-,*,7,6,9,1,9,(7-6),(7-6)*9=
*,+,3,7,8,21,29,(3*7),(3*7)+8=
-,//,4,5,2,-1,-1,(4-5),(4-5)//2=
*,+,1,5,1,5,6,(1*5),(1*5)+1=
+,+,9,9,6,18,24,(9+9),(9+9)+6=
//,-,7,8,1,0,-1,(7//8),(7//8)-1=
-,+,5,6,5,-1,4,(5-6),(5-6)+5=
*,+,5,9,1,45,46,(5*9),(5*9)+1=
//,//,4,5,5,0,0,(4//5),(4//5)//5=
+,+,7,5,5,12,17,(7+5),(7+5)+5=
//,+,6,8,3,0,3,(6//8),(6//8)+3=
-,//,9,3,5,6,1,(9-3),(9-3)//5=
-,*,9,6,1,3,3,(9-6),(9-6)*1=
//,//,5,9,2,0,0,(5//9),(5//9)//2=
-,*,3,7,3,-4,-12,(3-7),(3-7)*3=
*,//,7,9,6,63,10,(7*9),(7*9)//6=
+,//,6,9,6,15,2,(6+9),(6+9)//6=
-,*,8,3,2,5,10,(8-3),(8-3)*2=
-,+,9,3,5,6,11,(9-3),(9-3)+5=
-,-,1,6,7,-5,-12,(1-6),(1-6)-7=
-,+,5,5,7,0,7,(5-5),(5-5)+7=
//,+,3,4,6,0,6,(3//4),(3//4)+6=
-,+,9,1,1,8,9,(9-1),(9-1)+1=
+,*,9,2,4,11,44,(9+2),(9+2)*4=
*,*,8,5,5,40,200,(8*5),(8*5)*5=
+,+,6,3,8,9,17,(6+3),(6+3)+8=
+,*,7,3,7,10,70,(7+3),(7+3)*7=
//,-,3,6,2,0,-2,(3//6),(3//6)-2=
-,-,2,7,2,-5,-7,(2-7),(2-7)-2=
//,+,1,1,9,1,10,(1//1),(1//1)+9=
+,+,4,5,4,9,13,(4+5),(4+5)+4=
+,//,8,2,1,10,10,(8+2),(8+2)//1=
+,*,5,5,4,10,40,(5+5),(5+5)*4=
+,+,1,1,6,2,8,(1+1),(1+1)+6=
//,-,8,9,8,0,-8,(8//9),(8//9)-8=
*,-,8,6,9,48,39,(8*6),(8*6)-9=
-,//,3,8,4,-5,-2,(3-8),(3-8)//4=
*,-,8,9,6,72,66,(8*9),(8*9)-6=
//,-,6,3,8,2,-6,(6//3),(6//3)-8=
//,//,7,2,3,3,1,(7//2),(7//2)//3=
*,+,4,2,3,8,11,(4*2),(4*2)+3=
+,//,1,2,5,3,0,(1+2),(1+2)//5=
//,-,3,4,2,0,-2,(3//4),(3//4)-2=
-,//,8,4,7,4,0,(8-4),(8-4)//7=
*,//,6,8,1,48,48,(6*8),(6*8)//1=
+,*,8,4,9,12,108,(8+4),(8+4)*9=
-,*,2,1,8,1,8,(2-1),(2-1)*8=
//,//,3,9,6,0,0,(3//9),(3//9)//6=
+,*,2,4,2,6,12,(2+4),(2+4)*2=
//,//,8,3,1,2,2,(8//3),(8//3)//1=
+,-,7,7,1,14,13,(7+7),(7+7)-1=
*,-,1,6,1,6,5,(1*6),(1*6)-1=
-,*,5,3,3,2,6,(5-3),(5-3)*3=
*,-,4,5,2,20,18,(4*5),(4*5)-2=
*,//,1,5,7,5,0,(1*5),(1*5)//7=
+,*,6,9,8,15,120,(6+9),(6+9)*8=
//,//,1,6,4,0,0,(1//6),(1//6)//4=
*,-,3,9,9,27,18,(3*9),(3*9)-9=
*,*,4,5,8,20,160,(4*5),(4*5)*8=
*,+,9,1,3,9,12,(9*1),(9*1)+3=
*,*,8,4,3,32,96,(8*4),(8*4)*3=
//,//,6,9,2,0,0,(6//9),(6//9)//2=
-,+,1,7,6,-6,0,(1-7),(1-7)+6=
-,+,2,4,5,-2,3,(2-4),(2-4)+5=
+,//,2,3,9,5,0,(2+3),(2+3)//9=
-,//,8,2,6,6,1,(8-2),(8-2)//6=
*,+,4,1,1,4,5,(4*1),(4*1)+1=
//,*,9,8,8,1,8,(9//8),(9//8)*8=
*,//,4,3,5,12,2,(4*3),(4*3)//5=
//,+,3,7,2,0,2,(3//7),(3//7)+2=
*,//,6,5,6,30,5,(6*5),(6*5)//6=
-,//,6,3,8,3,0,(6-3),(6-3)//8=
*,-,8,3,1,24,23,(8*3),(8*3)-1=
+,+,1,7,3,8,11,(1+7),(1+7)+3=
//,+,9,9,9,1,10,(9//9),(9//9)+9=
//,-,5,2,2,2,0,(5//2),(5//2)-2=
*,+,7,6,6,42,48,(7*6),(7*6)+6=
-,+,4,7,2,-3,-1,(4-7),(4-7)+2=
//,*,2,1,3,2,6,(2//1),(2//1)*3=
+,*,7,5,6,12,72,(7+5),(7+5)*6=
+,+,8,6,6,14,20,(8+6),(8+6)+6=
//,//,8,9,2,0,0,(8//9),(8//9)//2=
-,+,5,1,7,4,11,(5-1),(5-1)+7=
-,+,4,8,4,-4,0,(4-8),(4-8)+4=
*,-,7,5,1,35,34,(7*5),(7*5)-1=
+,+,1,7,1,8,9,(1+7),(1+7)+1=
-,-,9,6,9,3,-6,(9-6),(9-6)-9=
+,+,7,2,8,9,17,(7+2),(7+2)+8=
//,*,8,3,2,2,4,(8//3),(8//3)*2=
//,+,2,5,5,0,5,(2//5),(2//5)+5=
*,-,2,7,5,14,9,(2*7),(2*7)-5=
-,*,1,8,4,-7,-28,(1-8),(1-8)*4=
+,*,1,7,3,8,24,(1+7),(1+7)*3=
+,+,5,6,2,11,13,(5+6),(5+6)+2=
*,+,5,2,9,10,19,(5*2),(5*2)+9=
*,+,5,9,2,45,47,(5*9),(5*9)+2=
-,-,1,3,5,-2,-7,(1-3),(1-3)-5=
//,+,7,9,4,0,4,(7//9),(7//9)+4=
//,+,2,9,7,0,7,(2//9),(2//9)+7=
+,+,9,3,6,12,18,(9+3),(9+3)+6=
+,*,2,2,7,4,28,(2+2),(2+2)*7=
//,*,9,4,9,2,18,(9//4),(9//4)*9=
+,*,7,2,2,9,18,(7+2),(7+2)*2=
*,-,9,5,5,45,40,(9*5),(9*5)-5=
-,*,3,7,6,-4,-24,(3-7),(3-7)*6=
+,*,8,3,6,11,66,(8+3),(8+3)*6=
//,+,6,1,1,6,7,(6//1),(6//1)+1=
+,+,5,4,1,9,10,(5+4),(5+4)+1=
*,-,1,3,9,3,-6,(1*3),(1*3)-9=
-,*,9,5,3,4,12,(9-5),(9-5)*3=
*,//,8,3,4,24,6,(8*3),(8*3)//4=
-,+,4,8,1,-4,-3,(4-8),(4-8)+1=
+,-,5,7,4,12,8,(5+7),(5+7)-4=
//,*,3,5,7,0,0,(3//5),(3//5)*7=
*,*,1,2,8,2,16,(1*2),(1*2)*8=
-,//,4,3,7,1,0,(4-3),(4-3)//7=
//,*,2,2,4,1,4,(2//2),(2//2)*4=
-,+,2,2,4,0,4,(2-2),(2-2)+4=
//,+,4,6,8,0,8,(4//6),(4//6)+8=
-,-,2,4,7,-2,-9,(2-4),(2-4)-7=
-,//,6,5,6,1,0,(6-5),(6-5)//6=
*,*,7,9,5,63,315,(7*9),(7*9)*5=
*,//,1,9,9,9,1,(1*9),(1*9)//9=
*,+,1,6,6,6,12,(1*6),(1*6)+6=
//,*,4,2,9,2,18,(4//2),(4//2)*9=
+,+,1,2,5,3,8,(1+2),(1+2)+5=
*,-,6,5,3,30,27,(6*5),(6*5)-3=
-,*,5,6,4,-1,-4,(5-6),(5-6)*4=
-,-,7,1,3,6,3,(7-1),(7-1)-3=
-,-,2,5,9,-3,-12,(2-5),(2-5)-9=
//,//,5,8,8,0,0,(5//8),(5//8)//8=
//,//,3,2,2,1,0,(3//2),(3//2)//2=
+,//,2,6,9,8,0,(2+6),(2+6)//9=
//,//,9,7,6,1,0,(9//7),(9//7)//6=
+,-,3,1,4,4,0,(3+1),(3+1)-4=
+,+,8,9,3,17,20,(8+9),(8+9)+3=
+,//,4,5,3,9,3,(4+5),(4+5)//3=
-,*,9,9,1,0,0,(9-9),(9-9)*1=
-,//,8,8,3,0,0,(8-8),(8-8)//3=
-,*,7,3,1,4,4,(7-3),(7-3)*1=
+,+,6,5,4,11,15,(6+5),(6+5)+4=
+,//,1,1,6,2,0,(1+1),(1+1)//6=
+,//,2,8,9,10,1,(2+8),(2+8)//9=
//,-,7,1,5,7,2,(7//1),(7//1)-5=
+,-,1,9,4,10,6,(1+9),(1+9)-4=
-,*,8,8,4,0,0,(8-8),(8-8)*4=
*,*,9,5,4,45,180,(9*5),(9*5)*4=
//,-,4,9,6,0,-6,(4//9),(4//9)-6=
//,*,2,4,5,0,0,(2//4),(2//4)*5=
//,*,1,4,9,0,0,(1//4),(1//4)*9=
//,-,9,8,7,1,-6,(9//8),(9//8)-7=
*,*,9,4,9,36,324,(9*4),(9*4)*9=
+,-,4,3,8,7,-1,(4+3),(4+3)-8=
+,+,5,1,8,6,14,(5+1),(5+1)+8=
+,+,8,3,7,11,18,(8+3),(8+3)+7=
-,-,8,8,7,0,-7,(8-8),(8-8)-7=
//,+,5,4,9,1,10,(5//4),(5//4)+9=
+,//,4,1,2,5,2,(4+1),(4+1)//2=
*,*,3,1,7,3,21,(3*1),(3*1)*7=
*,+,3,2,3,6,9,(3*2),(3*2)+3=
-,//,8,3,4,5,1,(8-3),(8-3)//4=
+,*,5,8,4,13,52,(5+8),(5+8)*4=
-,*,5,5,9,0,0,(5-5),(5-5)*9=
-,+,4,2,2,2,4,(4-2),(4-2)+2=
*,//,3,9,4,27,6,(3*9),(3*9)//4=
*,*,6,2,2,12,24,(6*2),(6*2)*2=
//,+,3,8,5,0,5,(3//8),(3//8)+5=
//,+,6,9,2,0,2,(6//9),(6//9)+2=
-,+,6,1,3,5,8,(6-1),(6-1)+3=
-,-,5,3,5,2,-3,(5-3),(5-3)-5=
+,-,3,9,3,12,9,(3+9),(3+9)-3=
-,+,5,1,8,4,12,(5-1),(5-1)+8=
*,*,5,9,4,45,180,(5*9),(5*9)*4=
*,-,9,9,3,81,78,(9*9),(9*9)-3=
//,+,2,6,2,0,2,(2//6),(2//6)+2=
-,//,3,3,6,0,0,(3-3),(3-3)//6=
+,*,4,8,3,12,36,(4+8),(4+8)*3=
//,//,7,6,6,1,0,(7//6),(7//6)//6=
//,-,4,7,8,0,-8,(4//7),(4//7)-8=
*,//,7,7,6,49,8,(7*7),(7*7)//6=
*,-,4,2,1,8,7,(4*2),(4*2)-1=
*,//,7,7,9,49,5,(7*7),(7*7)//9=
//,-,3,6,6,0,-6,(3//6),(3//6)-6=
-,-,8,3,4,5,1,(8-3),(8-3)-4=
//,-,7,2,2,3,1,(7//2),(7//2)-2=
*,+,1,6,8,6,14,(1*6),(1*6)+8=
+,//,4,8,5,12,2,(4+8),(4+8)//5=
*,//,1,4,5,4,0,(1*4),(1*4)//5=
*,+,3,6,7,18,25,(3*6),(3*6)+7=
-,+,7,5,9,2,11,(7-5),(7-5)+9=
*,+,3,7,4,21,25,(3*7),(3*7)+4=
-,+,8,7,5,1,6,(8-7),(8-7)+5=
*,*,7,4,1,28,28,(7*4),(7*4)*1=
+,+,2,4,9,6,15,(2+4),(2+4)+9=
//,//,8,4,9,2,0,(8//4),(8//4)//9=
//,*,9,4,1,2,2,(9//4),(9//4)*1=
*,-,7,8,2,56,54,(7*8),(7*8)-2=
-,*,1,3,7,-2,-14,(1-3),(1-3)*7=
*,-,2,9,5,18,13,(2*9),(2*9)-5=
//,+,9,8,6,1,7,(9//8),(9//8)+6=
//,-,6,3,4,2,-2,(6//3),(6//3)-4=
*,-,9,7,6,63,57,(9*7),(9*7)-6=
-,-,5,2,5,3,-2,(5-2),(5-2)-5=
+,*,8,9,7,17,119,(8+9),(8+9)*7=
+,-,2,5,4,7,3,(2+5),(2+5)-4=
+,-,9,5,6,14,8,(9+5),(9+5)-6=
+,*,4,7,7,11,77,(4+7),(4+7)*7=
-,-,8,7,4,1,-3,(8-7),(8-7)-4=
//,//,5,8,4,0,0,(5//8),(5//8)//4=
//,*,2,3,2,0,0,(2//3),(2//3)*2=
//,*,2,1,4,2,8,(2//1),(2//1)*4=
//,-,3,7,5,0,-5,(3//7),(3//7)-5=
*,-,2,6,9,12,3,(2*6),(2*6)-9=
+,-,6,9,4,15,11,(6+9),(6+9)-4=
+,*,5,3,1,8,8,(5+3),(5+3)*1=
+,//,2,4,2,6,3,(2+4),(2+4)//2=
*,*,8,3,4,24,96,(8*3),(8*3)*4=
+,+,5,5,7,10,17,(5+5),(5+5)+7=
//,+,5,6,9,0,9,(5//6),(5//6)+9=
*,*,4,3,5,12,60,(4*3),(4*3)*5=
//,*,7,2,9,3,27,(7//2),(7//2)*9=
*,-,8,4,6,32,26,(8*4),(8*4)-6=
-,*,6,3,6,3,18,(6-3),(6-3)*6=
*,-,8,5,8,40,32,(8*5),(8*5)-8=
*,-,9,2,9,18,9,(9*2),(9*2)-9=
//,-,5,5,8,1,-7,(5//5),(5//5)-8=
-,//,7,9,6,-2,-1,(7-9),(7-9)//6=
//,-,8,4,4,2,-2,(8//4),(8//4)-4=
*,+,2,3,8,6,14,(2*3),(2*3)+8=
*,+,2,8,6,16,22,(2*8),(2*8)+6=
*,*,3,1,6,3,18,(3*1),(3*1)*6=
//,-,7,5,5,1,-4,(7//5),(7//5)-5=
//,*,5,2,7,2,14,(5//2),(5//2)*7=
//,+,1,4,3,0,3,(1//4),(1//4)+3=
-,*,5,9,5,-4,-20,(5-9),(5-9)*5=
+,*,2,9,1,11,11,(2+9),(2+9)*1=
+,*,7,5,5,12,60,(7+5),(7+5)*5=
*,//,5,9,3,45,15,(5*9),(5*9)//3=
//,*,4,7,3,0,0,(4//7),(4//7)*3=
*,+,6,3,5,18,23,(6*3),(6*3)+5=
*,-,5,2,4,10,6,(5*2),(5*2)-4=
+,+,7,3,3,10,13,(7+3),(7+3)+3=
-,-,8,3,9,5,-4,(8-3),(8-3)-9=
//,-,8,1,8,8,0,(8//1),(8//1)-8=
//,*,9,7,2,1,2,(9//7),(9//7)*2=
+,*,3,6,1,9,9,(3+6),(3+6)*1=
+,-,9,3,5,12,7,(9+3),(9+3)-5=
*,-,8,8,2,64,62,(8*8),(8*8)-2=
-,-,5,1,5,4,-1,(5-1),(5-1)-5=
*,//,9,5,9,45,5,(9*5),(9*5)//9=
*,+,4,6,1,24,25,(4*6),(4*6)+1=
-,//,4,2,1,2,2,(4-2),(4-2)//1=
+,//,1,6,2,7,3,(1+6),(1+6)//2=
+,//,6,9,3,15,5,(6+9),(6+9)//3=
//,+,5,5,8,1,9,(5//5),(5//5)+8=
-,-,7,6,7,1,-6,(7-6),(7-6)-7=
//,-,3,7,8,0,-8,(3//7),(3//7)-8=
//,*,2,3,7,0,0,(2//3),(2//3)*7=
-,+,8,9,4,-1,3,(8-9),(8-9)+4=
+,-,3,8,3,11,8,(3+8),(3+8)-3=
*,+,7,1,1,7,8,(7*1),(7*1)+1=
//,-,8,1,4,8,4,(8//1),(8//1)-4=
-,//,3,1,7,2,0,(3-1),(3-1)//7=
+,*,6,2,2,8,16,(6+2),(6+2)*2=
+,*,2,6,5,8,40,(2+6),(2+6)*5=
-,+,7,2,8,5,13,(7-2),(7-2)+8=
//,//,4,8,5,0,0,(4//8),(4//8)//5=
-,*,2,8,6,-6,-36,(2-8),(2-8)*6=
*,*,9,9,5,81,405,(9*9),(9*9)*5=
*,+,1,8,1,8,9,(1*8),(1*8)+1=
-,-,4,8,1,-4,-5,(4-8),(4-8)-1=
//,+,9,6,9,1,10,(9//6),(9//6)+9=
+,+,4,1,2,5,7,(4+1),(4+1)+2=
*,//,7,2,8,14,1,(7*2),(7*2)//8=
//,*,9,7,3,1,3,(9//7),(9//7)*3=
*,//,8,8,2,64,32,(8*8),(8*8)//2=
-,*,2,3,4,-1,-4,(2-3),(2-3)*4=
+,-,2,1,5,3,-2,(2+1),(2+1)-5=
//,+,3,2,6,1,7,(3//2),(3//2)+6=
-,*,7,7,9,0,0,(7-7),(7-7)*9=
-,*,8,5,4,3,12,(8-5),(8-5)*4=
*,*,7,5,1,35,35,(7*5),(7*5)*1=
-,//,3,6,4,-3,-1,(3-6),(3-6)//4=
//,+,1,2,6,0,6,(1//2),(1//2)+6=
//,*,6,1,3,6,18,(6//1),(6//1)*3=
+,//,5,4,6,9,1,(5+4),(5+4)//6=
+,+,2,2,7,4,11,(2+2),(2+2)+7=
*,//,5,2,2,10,5,(5*2),(5*2)//2=
-,*,9,5,5,4,20,(9-5),(9-5)*5=
//,-,4,2,9,2,-7,(4//2),(4//2)-9=
//,+,8,4,9,2,11,(8//4),(8//4)+9=
+,-,5,2,3,7,4,(5+2),(5+2)-3=
-,+,4,3,2,1,3,(4-3),(4-3)+2=
-,*,4,5,7,-1,-7,(4-5),(4-5)*7=
+,*,4,8,4,12,48,(4+8),(4+8)*4=
//,//,7,6,9,1,0,(7//6),(7//6)//9=
//,*,4,7,2,0,0,(4//7),(4//7)*2=
//,*,2,6,4,0,0,(2//6),(2//6)*4=
+,+,9,5,6,14,20,(9+5),(9+5)+6=
*,*,4,7,9,28,252,(4*7),(4*7)*9=
+,+,4,5,1,9,10,(4+5),(4+5)+1=
*,//,6,1,2,6,3,(6*1),(6*1)//2=
//,*,6,6,2,1,2,(6//6),(6//6)*2=
+,+,3,7,5,10,15,(3+7),(3+7)+5=
//,//,5,4,7,1,0,(5//4),(5//4)//7=
*,+,7,9,3,63,66,(7*9),(7*9)+3=
*,*,8,5,1,40,40,(8*5),(8*5)*1=
//,-,5,1,3,5,2,(5//1),(5//1)-3=
+,+,5,4,9,9,18,(5+4),(5+4)+9=
-,*,1,4,7,-3,-21,(1-4),(1-4)*7=
-,*,4,9,8,-5,-40,(4-9),(4-9)*8=
*,+,7,4,1,28,29,(7*4),(7*4)+1=
//,//,1,5,3,0,0,(1//5),(1//5)//3=
*,+,1,5,8,5,13,(1*5),(1*5)+8=
-,+,1,6,2,-5,-3,(1-6),(1-6)+2=
-,-,2,6,6,-4,-10,(2-6),(2-6)-6=
-,//,1,3,5,-2,-1,(1-3),(1-3)//5=
*,*,7,5,6,35,210,(7*5),(7*5)*6=
//,+,6,7,4,0,4,(6//7),(6//7)+4=
-,//,4,2,4,2,0,(4-2),(4-2)//4=
//,*,8,8,9,1,9,(8//8),(8//8)*9=
//,-,4,1,1,4,3,(4//1),(4//1)-1=
+,//,7,6,9,13,1,(7+6),(7+6)//9=
+,//,9,9,9,18,2,(9+9),(9+9)//9=
//,-,8,1,5,8,3,(8//1),(8//1)-5=
+,//,6,5,1,11,11,(6+5),(6+5)//1=
-,+,7,3,2,4,6,(7-3),(7-3)+2=
-,//,9,4,8,5,0,(9-4),(9-4)//8=
+,*,1,6,6,7,42,(1+6),(1+6)*6=
-,+,8,5,2,3,5,(8-5),(8-5)+2=
-,*,8,4,9,4,36,(8-4),(8-4)*9=
