variable,op1,op2,n1,n2,n3,intermediate,answer,eq1,eq2,eqfull
p,*,+,5,4,4,20,24,p=5*4,p+4=,p=5*4. p+4=
x,*,//,7,2,6,14,2,x=7*2,x//6=,x=7*2. x//6=
x,-,*,7,9,1,-2,-2,x=7-9,x*1=,x=7-9. x*1=
u,-,//,1,9,8,-8,-1,u=1-9,u//8=,u=1-9. u//8=
v,+,*,2,6,6,8,48,v=2+6,v*6=,v=2+6. v*6=
m,//,*,1,1,4,1,4,m=1//1,m*4=,m=1//1. m*4=
x,//,//,6,7,4,0,0,x=6//7,x//4=,x=6//7. x//4=
s,-,*,4,3,7,1,7,s=4-3,s*7=,s=4-3. s*7=
h,//,+,8,1,1,8,9,h=8//1,h+1=,h=8//1. h+1=
k,//,+,1,2,2,0,2,k=1//2,k+2=,k=1//2. k+2=
w,+,*,6,9,5,15,75,w=6+9,w*5=,w=6+9. w*5=
n,-,*,9,5,6,4,24,n=9-5,n*6=,n=9-5. n*6=
t,//,*,2,6,5,0,0,t=2//6,t*5=,t=2//6. t*5=
s,-,//,9,2,6,7,1,s=9-2,s//6=,s=9-2. s//6=
v,+,+,8,2,1,10,11,v=8+2,v+1=,v=8+2. v+1=
s,-,//,6,3,9,3,0,s=6-3,s//9=,s=6-3. s//9=
c,-,-,3,4,1,-1,-2,c=3-4,c-1=,c=3-4. c-1=
d,*,//,2,6,1,12,12,d=2*6,d//1=,d=2*6. d//1=
a,-,+,2,5,4,-3,1,a=2-5,a+4=,a=2-5. a+4=
g,//,-,6,8,1,0,-1,g=6//8,g-1=,g=6//8. g-1=
v,*,+,5,6,4,30,34,v=5*6,v+4=,v=5*6. v+4=
a,+,-,8,8,2,16,14,a=8+8,a-2=,a=8+8. a-2=
s,//,//,4,7,5,0,0,s=4//7,s//5=,s=4//7. s//5=
e,+,+,6,6,8,12,20,e=6+6,e+8=,e=6+6. e+8=
x,-,-,4,3,7,1,-6,x=4-3,x-7=,x=4-3. x-7=
x,*,//,5,1,5,5,1,x=5*1,x//5=,x=5*1. x//5=
u,*,*,9,9,3,81,243,u=9*9,u*3=,u=9*9. u*3=
y,//,-,4,9,8,0,-8,y=4//9,y-8=,y=4//9. y-8=
s,*,//,1,2,1,2,2,s=1*2,s//1=,s=1*2. s//1=
j,*,+,5,3,4,15,19,j=5*3,j+4=,j=5*3. j+4=
l,*,*,9,3,3,27,81,l=9*3,l*3=,l=9*3. l*3=
u,*,-,1,3,8,3,-5,u=1*3,u-8=,u=1*3. u-8=
j,+,+,3,8,2,11,13,j=3+8,j+2=,j=3+8. j+2=
w,*,*,5,3,2,15,30,w=5*3,w*2=,w=5*3. w*2=
o,//,-,5,3,9,1,-8,o=5//3,o-9=,o=5//3. o-9=
x,+,+,5,5,3,10,13,x=5+5,x+3=,x=5+5. x+3=
t,*,*,5,8,1,40,40,t=5*8,t*1=,t=5*8. t*1=
s,+,//,6,7,7,13,1,s=6+7,s//7=,s=6+7. s//7=
u,//,-,8,8,3,1,-2,u=8//8,u-3=,u=8//8. u-3=
k,+,+,7,9,9,16,25,k=7+9,k+9=,k=7+9. k+9=
t,-,//,8,5,4,3,0,t=8-5,t//4=,t=8-5. t//4=
j,//,//,3,6,5,0,0,j=3//6,j//5=,j=3//6. j//5=
i,-,+,1,1,7,0,7,i=1-1,i+7=,i=1-1. i+7=
p,+,*,3,1,3,4,12,p=3+1,p*3=,p=3+1. p*3=
n,*,*,5,5,8,25,200,n=5*5,n*8=,n=5*5. n*8=
z,+,+,2,5,6,7,13,z=2+5,z+6=,z=2+5. z+6=
x,//,+,8,4,8,2,10,x=8//4,x+8=,x=8//4. x+8=
m,*,//,5,6,3,30,10,m=5*6,m//3=,m=5*6. m//3=
k,+,//,6,3,6,9,1,k=6+3,k//6=,k=6+3. k//6=
c,+,//,5,5,1,10,10,c=5+5,c//1=,c=5+5. c//1=
w,+,-,8,8,1,16,15,w=8+8,w-1=,w=8+8. w-1=
l,+,//,3,6,7,9,1,l=3+6,l//7=,l=3+6. l//7=
q,-,//,8,9,1,-1,-1,q=8-9,q//1=,q=8-9. q//1=
y,+,*,6,9,4,15,60,y=6+9,y*4=,y=6+9. y*4=
e,*,*,4,2,9,8,72,e=4*2,e*9=,e=4*2. e*9=
y,+,//,8,1,4,9,2,y=8+1,y//4=,y=8+1. y//4=
o,*,//,9,5,4,45,11,o=9*5,o//4=,o=9*5. o//4=
j,-,//,4,3,5,1,0,j=4-3,j//5=,j=4-3. j//5=
s,*,//,6,9,2,54,27,s=6*9,s//2=,s=6*9. s//2=
b,+,+,1,4,5,5,10,b=1+4,b+5=,b=1+4. b+5=
t,//,+,2,7,9,0,9,t=2//7,t+9=,t=2//7. t+9=
z,+,+,8,7,2,15,17,z=8+7,z+2=,z=8+7. z+2=
i,-,-,6,8,4,-2,-6,i=6-8,i-4=,i=6-8. i-4=
y,//,-,4,4,7,1,-6,y=4//4,y-7=,y=4//4. y-7=
h,*,+,7,1,6,7,13,h=7*1,h+6=,h=7*1. h+6=
j,+,//,3,4,7,7,1,j=3+4,j//7=,j=3+4. j//7=
p,-,//,3,2,2,1,0,p=3-2,p//2=,p=3-2. p//2=
a,//,-,4,9,2,0,-2,a=4//9,a-2=,a=4//9. a-2=
e,*,+,9,1,9,9,18,e=9*1,e+9=,e=9*1. e+9=
h,-,-,4,8,6,-4,-10,h=4-8,h-6=,h=4-8. h-6=
r,*,-,4,7,1,28,27,r=4*7,r-1=,r=4*7. r-1=
t,*,*,4,2,7,8,56,t=4*2,t*7=,t=4*2. t*7=
c,*,*,3,3,9,9,81,c=3*3,c*9=,c=3*3. c*9=
z,+,+,3,3,7,6,13,z=3+3,z+7=,z=3+3. z+7=
o,*,//,4,2,8,8,1,o=4*2,o//8=,o=4*2. o//8=
j,*,//,8,4,4,32,8,j=8*4,j//4=,j=8*4. j//4=
o,*,-,9,8,1,72,71,o=9*8,o-1=,o=9*8. o-1=
d,+,+,5,6,9,11,20,d=5+6,d+9=,d=5+6. d+9=
y,*,*,3,7,9,21,189,y=3*7,y*9=,y=3*7. y*9=
f,-,+,1,8,4,-7,-3,f=1-8,f+4=,f=1-8. f+4=
b,*,*,8,3,3,24,72,b=8*3,b*3=,b=8*3. b*3=
w,*,+,1,1,5,1,6,w=1*1,w+5=,w=1*1. w+5=
c,-,+,1,3,8,-2,6,c=1-3,c+8=,c=1-3. c+8=
l,*,//,8,7,3,56,18,l=8*7,l//3=,l=8*7. l//3=
s,*,-,3,5,2,15,13,s=3*5,s-2=,s=3*5. s-2=
b,*,-,3,4,4,12,8,b=3*4,b-4=,b=3*4. b-4=
j,*,+,7,5,5,35,40,j=7*5,j+5=,j=7*5. j+5=
l,*,-,1,2,2,2,0,l=1*2,l-2=,l=1*2. l-2=
a,+,+,8,6,5,14,19,a=8+6,a+5=,a=8+6. a+5=
o,-,-,1,2,3,-1,-4,o=1-2,o-3=,o=1-2. o-3=
d,*,//,7,7,5,49,9,d=7*7,d//5=,d=7*7. d//5=
f,*,+,9,6,4,54,58,f=9*6,f+4=,f=9*6. f+4=
i,-,+,8,7,7,1,8,i=8-7,i+7=,i=8-7. i+7=
w,-,*,8,2,4,6,24,w=8-2,w*4=,w=8-2. w*4=
i,//,-,2,7,4,0,-4,i=2//7,i-4=,i=2//7. i-4=
w,-,+,8,2,8,6,14,w=8-2,w+8=,w=8-2. w+8=
q,+,-,5,2,2,7,5,q=5+2,q-2=,q=5+2. q-2=
t,//,//,9,9,2,1,0,t=9//9,t//2=,t=9//9. t//2=
z,+,-,7,8,7,15,8,z=7+8,z-7=,z=7+8. z-7=
g,+,*,5,1,6,6,36,g=5+1,g*6=,g=5+1. g*6=
f,//,//,1,8,8,0,0,f=1//8,f//8=,f=1//8. f//8=
i,-,//,4,6,8,-2,-1,i=4-6,i//8=,i=4-6. i//8=
x,-,*,8,8,3,0,0,x=8-8,x*3=,x=8-8. x*3=
o,*,-,8,2,5,16,11,o=8*2,o-5=,o=8*2. o-5=
l,*,+,3,5,6,15,21,l=3*5,l+6=,l=3*5. l+6=
q,//,-,3,4,5,0,-5,q=3//4,q-5=,q=3//4. q-5=
l,+,-,7,4,5,11,6,l=7+4,l-5=,l=7+4. l-5=
c,*,//,8,7,4,56,14,c=8*7,c//4=,c=8*7. c//4=
x,-,//,9,4,2,5,2,x=9-4,x//2=,x=9-4. x//2=
w,+,*,4,6,3,10,30,w=4+6,w*3=,w=4+6. w*3=
h,-,//,5,1,1,4,4,h=5-1,h//1=,h=5-1. h//1=
d,//,//,3,1,8,3,0,d=3//1,d//8=,d=3//1. d//8=
t,+,*,3,4,7,7,49,t=3+4,t*7=,t=3+4. t*7=
a,*,//,9,2,9,18,2,a=9*2,a//9=,a=9*2. a//9=
n,+,*,7,7,3,14,42,n=7+7,n*3=,n=7+7. n*3=
g,//,-,1,9,3,0,-3,g=1//9,g-3=,g=1//9. g-3=
h,*,//,1,2,7,2,0,h=1*2,h//7=,h=1*2. h//7=
l,*,+,5,5,6,25,31,l=5*5,l+6=,l=5*5. l+6=
y,+,-,2,3,2,5,3,y=2+3,y-2=,y=2+3. y-2=
p,+,-,9,3,4,12,8,p=9+3,p-4=,p=9+3. p-4=
z,*,-,2,4,6,8,2,z=2*4,z-6=,z=2*4. z-6=
o,*,+,8,5,5,40,45,o=8*5,o+5=,o=8*5. o+5=
f,-,+,5,6,7,-1,6,f=5-6,f+7=,f=5-6. f+7=
h,+,-,1,6,9,7,-2,h=1+6,h-9=,h=1+6. h-9=
p,*,+,8,2,3,16,19,p=8*2,p+3=,p=8*2. p+3=
m,+,+,5,2,1,7,8,m=5+2,m+1=,m=5+2. m+1=
t,//,//,6,2,8,3,0,t=6//2,t//8=,t=6//2. t//8=
x,-,-,9,9,2,0,-2,x=9-9,x-2=,x=9-9. x-2=
a,*,*,8,3,2,24,48,a=8*3,a*2=,a=8*3. a*2=
s,-,+,8,9,6,-1,5,s=8-9,s+6=,s=8-9. s+6=
m,//,*,5,4,2,1,2,m=5//4,m*2=,m=5//4. m*2=
b,*,*,2,8,9,16,144,b=2*8,b*9=,b=2*8. b*9=
n,+,-,4,7,9,11,2,n=4+7,n-9=,n=4+7. n-9=
s,-,*,8,6,8,2,16,s=8-6,s*8=,s=8-6. s*8=
r,//,*,2,5,4,0,0,r=2//5,r*4=,r=2//5. r*4=
w,-,//,7,2,1,5,5,w=7-2,w//1=,w=7-2. w//1=
g,*,*,7,5,8,35,280,g=7*5,g*8=,g=7*5. g*8=
e,//,//,3,5,1,0,0,e=3//5,e//1=,e=3//5. e//1=
m,//,+,5,2,4,2,6,m=5//2,m+4=,m=5//2. m+4=
b,*,-,7,3,1,21,20,b=7*3,b-1=,b=7*3. b-1=
k,*,//,4,3,7,12,1,k=4*3,k//7=,k=4*3. k//7=
k,+,+,7,5,2,12,14,k=7+5,k+2=,k=7+5. k+2=
g,+,-,3,8,1,11,10,g=3+8,g-1=,g=3+8. g-1=
r,*,-,5,9,1,45,44,r=5*9,r-1=,r=5*9. r-1=
r,//,-,8,5,7,1,-6,r=8//5,r-7=,r=8//5. r-7=
g,*,+,2,1,8,2,10,g=2*1,g+8=,g=2*1. g+8=
y,+,*,1,5,9,6,54,y=1+5,y*9=,y=1+5. y*9=
j,//,-,9,8,5,1,-4,j=9//8,j-5=,j=9//8. j-5=
r,+,//,7,6,3,13,4,r=7+6,r//3=,r=7+6. r//3=
k,-,+,4,6,8,-2,6,k=4-6,k+8=,k=4-6. k+8=
m,*,*,8,1,8,8,64,m=8*1,m*8=,m=8*1. m*8=
k,-,+,5,1,3,4,7,k=5-1,k+3=,k=5-1. k+3=
c,-,-,8,5,7,3,-4,c=8-5,c-7=,c=8-5. c-7=
t,+,//,7,6,4,13,3,t=7+6,t//4=,t=7+6. t//4=
w,*,+,6,7,9,42,51,w=6*7,w+9=,w=6*7. w+9=
x,//,//,5,6,1,0,0,x=5//6,x//1=,x=5//6. x//1=
l,+,+,7,8,2,15,17,l=7+8,l+2=,l=7+8. l+2=
g,*,-,3,8,8,24,16,g=3*8,g-8=,g=3*8. g-8=
j,*,//,9,8,5,72,14,j=9*8,j//5=,j=9*8. j//5=
r,*,*,2,7,6,14,84,r=2*7,r*6=,r=2*7. r*6=
n,//,+,4,4,5,1,6,n=4//4,n+5=,n=4//4. n+5=
x,+,//,4,4,6,8,1,x=4+4,x//6=,x=4+4. x//6=
j,//,//,7,1,9,7,0,j=7//1,j//9=,j=7//1. j//9=
w,+,*,4,9,6,13,78,w=4+9,w*6=,w=4+9. w*6=
q,*,-,5,1,5,5,0,q=5*1,q-5=,q=5*1. q-5=
u,+,*,7,4,6,11,66,u=7+4,u*6=,u=7+4. u*6=
b,*,//,8,6,1,48,48,b=8*6,b//1=,b=8*6. b//1=
j,+,//,1,1,9,2,0,j=1+1,j//9=,j=1+1. j//9=
u,-,+,9,6,5,3,8,u=9-6,u+5=,u=9-6. u+5=
m,//,-,9,5,6,1,-5,m=9//5,m-6=,m=9//5. m-6=
b,*,+,6,4,6,24,30,b=6*4,b+6=,b=6*4. b+6=
h,//,*,6,7,2,0,0,h=6//7,h*2=,h=6//7. h*2=
u,*,*,6,4,6,24,144,u=6*4,u*6=,u=6*4. u*6=
y,*,*,6,5,4,30,120,y=6*5,y*4=,y=6*5. y*4=
q,+,//,5,2,9,7,0,q=5+2,q//9=,q=5+2. q//9=
f,+,-,7,8,9,15,6,f=7+8,f-9=,f=7+8. f-9=
s,//,-,3,2,2,1,-1,s=3//2,s-2=,s=3//2. s-2=
a,-,+,3,7,1,-4,-3,a=3-7,a+1=,a=3-7. a+1=
y,+,//,6,8,9,14,1,y=6+8,y//9=,y=6+8. y//9=
x,+,-,6,4,4,10,6,x=6+4,x-4=,x=6+4. x-4=
q,*,//,5,3,7,15,2,q=5*3,q//7=,q=5*3. q//7=
x,-,+,1,1,5,0,5,x=1-1,x+5=,x=1-1. x+5=
h,-,*,3,7,8,-4,-32,h=3-7,h*8=,h=3-7. h*8=
o,+,-,6,9,6,15,9,o=6+9,o-6=,o=6+9. o-6=
m,-,-,6,8,2,-2,-4,m=6-8,m-2=,m=6-8. m-2=
p,+,+,3,8,5,11,16,p=3+8,p+5=,p=3+8. p+5=
g,//,-,8,7,9,1,-8,g=8//7,g-9=,g=8//7. g-9=
l,+,-,6,5,3,11,8,l=6+5,l-3=,l=6+5. l-3=
x,-,-,2,6,1,-4,-5,x=2-6,x-1=,x=2-6. x-1=
r,+,//,6,4,2,10,5,r=6+4,r//2=,r=6+4. r//2=
e,-,//,9,4,7,5,0,e=9-4,e//7=,e=9-4. e//7=
s,-,*,1,9,5,-8,-40,s=1-9,s*5=,s=1-9. s*5=
s,-,+,9,6,4,3,7,s=9-6,s+4=,s=9-6. s+4=
p,//,*,7,3,7,2,14,p=7//3,p*7=,p=7//3. p*7=
t,//,*,7,2,3,3,9,t=7//2,t*3=,t=7//2. t*3=
r,//,+,3,2,9,1,10,r=3//2,r+9=,r=3//2. r+9=
f,//,//,9,6,2,1,0,f=9//6,f//2=,f=9//6. f//2=
t,//,//,2,3,6,0,0,t=2//3,t//6=,t=2//3. t//6=
w,+,+,5,3,7,8,15,w=5+3,w+7=,w=5+3. w+7=
m,//,//,5,9,9,0,0,m=5//9,m//9=,m=5//9. m//9=
s,*,*,5,6,9,30,270,s=5*6,s*9=,s=5*6. s*9=
c,*,-,2,7,3,14,11,c=2*7,c-3=,c=2*7. c-3=
a,-,+,3,9,3,-6,-3,a=3-9,a+3=,a=3-9. a+3=
g,+,*,7,2,2,9,18,g=7+2,g*2=,g=7+2. g*2=
g,-,+,3,8,1,-5,-4,g=3-8,g+1=,g=3-8. g+1=
q,//,-,9,2,6,4,-2,q=9//2,q-6=,q=9//2. q-6=
e,//,+,7,1,8,7,15,e=7//1,e+8=,e=7//1. e+8=
v,+,*,9,2,2,11,22,v=9+2,v*2=,v=9+2. v*2=
n,+,*,7,8,3,15,45,n=7+8,n*3=,n=7+8. n*3=
n,*,-,7,5,8,35,27,n=7*5,n-8=,n=7*5. n-8=
x,*,+,7,1,8,7,15,x=7*1,x+8=,x=7*1. x+8=
h,-,//,1,6,3,-5,-2,h=1-6,h//3=,h=1-6. h//3=
e,-,*,4,1,4,3,12,e=4-1,e*4=,e=4-1. e*4=
s,+,+,3,6,1,9,10,s=3+6,s+1=,s=3+6. s+1=
h,*,+,4,4,3,16,19,h=4*4,h+3=,h=4*4. h+3=
c,*,*,9,1,8,9,72,c=9*1,c*8=,c=9*1. c*8=
c,-,*,4,2,1,2,2,c=4-2,c*1=,c=4-2. c*1=
d,*,-,4,9,4,36,32,d=4*9,d-4=,d=4*9. d-4=
m,-,+,7,4,8,3,11,m=7-4,m+8=,m=7-4. m+8=
t,*,*,5,7,4,35,140,t=5*7,t*4=,t=5*7. t*4=
d,-,*,7,9,6,-2,-12,d=7-9,d*6=,d=7-9. d*6=
t,*,//,3,5,9,15,1,t=3*5,t//9=,t=3*5. t//9=
x,+,//,8,5,5,13,2,x=8+5,x//5=,x=8+5. x//5=
b,//,//,9,8,3,1,0,b=9//8,b//3=,b=9//8. b//3=
u,*,*,7,5,6,35,210,u=7*5,u*6=,u=7*5. u*6=
g,-,*,3,4,5,-1,-5,g=3-4,g*5=,g=3-4. g*5=
g,+,//,6,2,9,8,0,g=6+2,g//9=,g=6+2. g//9=
k,+,*,5,6,9,11,99,k=5+6,k*9=,k=5+6. k*9=
f,+,-,8,9,8,17,9,f=8+9,f-8=,f=8+9. f-8=
r,-,*,6,9,2,-3,-6,r=6-9,r*2=,r=6-9. r*2=
k,//,*,6,5,2,1,2,k=6//5,k*2=,k=6//5. k*2=
t,+,*,3,8,1,11,11,t=3+8,t*1=,t=3+8. t*1=
a,-,*,6,3,7,3,21,a=6-3,a*7=,a=6-3. a*7=
o,-,*,6,4,4,2,8,o=6-4,o*4=,o=6-4. o*4=
f,*,//,5,9,8,45,5,f=5*9,f//8=,f=5*9. f//8=
e,+,-,7,5,7,12,5,e=7+5,e-7=,e=7+5. e-7=
z,//,//,8,8,3,1,0,z=8//8,z//3=,z=8//8. z//3=
y,*,//,5,3,9,15,1,y=5*3,y//9=,y=5*3. y//9=
s,+,+,4,2,9,6,15,s=4+2,s+9=,s=4+2. s+9=
o,+,//,7,3,2,10,5,o=7+3,o//2=,o=7+3. o//2=
d,*,//,5,7,4,35,8,d=5*7,d//4=,d=5*7. d//4=
h,+,+,8,3,4,11,15,h=8+3,h+4=,h=8+3. h+4=
d,*,*,8,1,9,8,72,d=8*1,d*9=,d=8*1. d*9=
m,+,*,5,7,2,12,24,m=5+7,m*2=,m=5+7. m*2=
w,+,-,8,6,3,14,11,w=8+6,w-3=,w=8+6. w-3=
d,//,-,2,6,5,0,-5,d=2//6,d-5=,d=2//6. d-5=
p,*,+,7,8,1,56,57,p=7*8,p+1=,p=7*8. p+1=
b,-,//,1,5,1,-4,-4,b=1-5,b//1=,b=1-5. b//1=
n,+,-,4,3,1,7,6,n=4+3,n-1=,n=4+3. n-1=
l,//,*,3,4,2,0,0,l=3//4,l*2=,l=3//4. l*2=
x,+,+,7,6,3,13,16,x=7+6,x+3=,x=7+6. x+3=
b,+,*,1,2,8,3,24,b=1+2,b*8=,b=1+2. b*8=
h,-,-,6,6,8,0,-8,h=6-6,h-8=,h=6-6. h-8=
y,-,-,5,1,5,4,-1,y=5-1,y-5=,y=5-1. y-5=
s,-,-,3,9,3,-6,-9,s=3-9,s-3=,s=3-9. s-3=
b,*,*,8,5,4,40,160,b=8*5,b*4=,b=8*5. b*4=
z,*,+,9,1,4,9,13,z=9*1,z+4=,z=9*1. z+4=
m,-,//,4,7,6,-3,-1,m=4-7,m//6=,m=4-7. m//6=
d,//,*,3,1,5,3,15,d=3//1,d*5=,d=3//1. d*5=
q,*,*,5,1,1,5,5,q=5*1,q*1=,q=5*1. q*1=
t,//,-,6,9,1,0,-1,t=6//9,t-1=,t=6//9. t-1=
y,+,*,4,3,2,7,14,y=4+3,y*2=,y=4+3. y*2=
u,+,//,7,1,2,8,4,u=7+1,u//2=,u=7+1. u//2=
r,*,-,9,7,4,63,59,r=9*7,r-4=,r=9*7. r-4=
o,-,-,5,1,5,4,-1,o=5-1,o-5=,o=5-1. o-5=
x,-,//,4,8,3,-4,-2,x=4-8,x//3=,x=4-8. x//3=
h,*,*,5,8,6,40,240,h=5*8,h*6=,h=5*8. h*6=
f,*,*,4,3,6,12,72,f=4*3,f*6=,f=4*3. f*6=
v,-,-,3,8,2,-5,-7,v=3-8,v-2=,v=3-8. v-2=
u,-,+,9,1,3,8,11,u=9-1,u+3=,u=9-1. u+3=
q,//,-,2,3,3,0,-3,q=2//3,q-3=,q=2//3. q-3=
f,*,+,2,7,7,14,21,f=2*7,f+7=,f=2*7. f+7=
r,*,+,2,4,2,8,10,r=2*4,r+2=,r=2*4. r+2=
p,//,-,8,4,2,2,0,p=8//4,p-2=,p=8//4. p-2=
t,*,*,7,1,1,7,7,t=7*1,t*1=,t=7*1. t*1=
j,*,+,7,9,4,63,67,j=7*9,j+4=,j=7*9. j+4=
p,//,*,9,8,6,1,6,p=9//8,p*6=,p=9//8. p*6=
n,+,-,2,2,7,4,-3,n=2+2,n-7=,n=2+2. n-7=
f,*,*,9,3,4,27,108,f=9*3,f*4=,f=9*3. f*4=
t,-,-,4,2,6,2,-4,t=4-2,t-6=,t=4-2. t-6=
q,+,+,2,1,6,3,9,q=2+1,q+6=,q=2+1. q+6=
v,//,-,6,7,5,0,-5,v=6//7,v-5=,v=6//7. v-5=
g,//,//,8,9,1,0,0,g=8//9,g//1=,g=8//9. g//1=
n,+,*,3,4,6,7,42,n=3+4,n*6=,n=3+4. n*6=
u,+,+,8,2,8,10,18,u=8+2,u+8=,u=8+2. u+8=
g,*,-,6,1,1,6,5,g=6*1,g-1=,g=6*1. g-1=
r,*,*,7,6,3,42,126,r=7*6,r*3=,r=7*6. r*3=
n,+,+,3,2,9,5,14,n=3+2,n+9=,n=3+2. n+9=
c,+,+,6,7,5,13,18,c=6+7,c+5=,c=6+7. c+5=
h,*,-,8,3,1,24,23,h=8*3,h-1=,h=8*3. h-1=
g,*,//,8,9,4,72,18,g=8*9,g//4=,g=8*9. g//4=
n,+,-,8,9,9,17,8,n=8+9,n-9=,n=8+9. n-9=
b,+,+,4,9,4,13,17,b=4+9,b+4=,b=4+9. b+4=
x,+,*,7,5,5,12,60,x=7+5,x*5=,x=7+5. x*5=
z,+,//,1,1,5,2,0,z=1+1,z//5=,z=1+1. z//5=
r,//,-,8,1,6,8,2,r=8//1,r-6=,r=8//1. r-6=
r,+,*,1,3,7,4,28,r=1+3,r*7=,r=1+3. r*7=
n,+,+,2,9,1,11,12,n=2+9,n+1=,n=2+9. n+1=
y,*,-,6,9,5,54,49,y=6*9,y-5=,y=6*9. y-5=
r,//,+,8,4,3,2,5,r=8//4,r+3=,r=8//4. r+3=
k,+,-,6,5,1,11,10,k=6+5,k-1=,k=6+5. k-1=
a,*,//,5,6,2,30,15,a=5*6,a//2=,a=5*6. a//2=
q,-,+,2,5,6,-3,3,q=2-5,q+6=,q=2-5. q+6=
u,//,//,6,5,5,1,0,u=6//5,u//5=,u=6//5. u//5=
e,-,+,5,2,4,3,7,e=5-2,e+4=,e=5-2. e+4=
o,//,//,5,2,2,2,1,o=5//2,o//2=,o=5//2. o//2=
o,*,*,2,3,1,6,6,o=2*3,o*1=,o=2*3. o*1=
s,+,-,6,5,7,11,4,s=6+5,s-7=,s=6+5. s-7=
h,+,//,1,9,9,10,1,h=1+9,h//9=,h=1+9. h//9=
d,//,//,2,7,9,0,0,d=2//7,d//9=,d=2//7. d//9=
x,*,//,1,4,5,4,0,x=1*4,x//5=,x=1*4. x//5=
w,+,-,9,1,7,10,3,w=9+1,w-7=,w=9+1. w-7=
b,*,+,8,5,4,40,44,b=8*5,b+4=,b=8*5. b+4=
i,-,*,1,2,1,-1,-1,i=1-2,i*1=,i=1-2. i*1=
l,//,+,3,8,1,0,1,l=3//8,l+1=,l=3//8. l+1=
i,//,+,2,7,2,0,2,i=2//7,i+2=,i=2//7. i+2=
d,+,*,3,9,1,12,12,d=3+9,d*1=,d=3+9. d*1=
c,-,-,5,1,8,4,-4,c=5-1,c-8=,c=5-1. c-8=
k,//,-,5,5,4,1,-3,k=5//5,k-4=,k=5//5. k-4=
z,*,//,1,1,9,1,0,z=1*1,z//9=,z=1*1. z//9=
b,*,-,7,1,8,7,-1,b=7*1,b-8=,b=7*1. b-8=
r,+,*,1,2,9,3,27,r=1+2,r*9=,r=1+2. r*9=
v,//,//,8,7,1,1,1,v=8//7,v//1=,v=8//7. v//1=
l,+,+,2,8,8,10,18,l=2+8,l+8=,l=2+8. l+8=
a,+,+,4,9,9,13,22,a=4+9,a+9=,a=4+9. a+9=
c,-,*,9,4,9,5,45,c=9-4,c*9=,c=9-4. c*9=
p,+,+,3,9,7,12,19,p=3+9,p+7=,p=3+9. p+7=
m,-,-,2,1,7,1,-6,m=2-1,m-7=,m=2-1. m-7=
i,//,*,2,8,3,0,0,i=2//8,i*3=,i=2//8. i*3=
f,*,*,6,9,5,54,270,f=6*9,f*5=,f=6*9. f*5=
j,//,+,1,9,2,0,2,j=1//9,j+2=,j=1//9. j+2=
k,-,+,5,1,2,4,6,k=5-1,k+2=,k=5-1. k+2=
l,-,-,1,9,5,-8,-13,l=1-9,l-5=,l=1-9. l-5=
c,+,-,3,4,9,7,-2,c=3+4,c-9=,c=3+4. c-9=
n,*,*,6,7,2,42,84,n=6*7,n*2=,n=6*7. n*2=
v,//,*,8,4,2,2,4,v=8//4,v*2=,v=8//4. v*2=
l,*,+,4,8,1,32,33,l=4*8,l+1=,l=4*8. l+1=
x,-,*,5,7,7,-2,-14,x=5-7,x*7=,x=5-7. x*7=
k,//,*,3,9,9,0,0,k=3//9,k*9=,k=3//9. k*9=
v,+,*,3,2,7,5,35,v=3+2,v*7=,v=3+2. v*7=
u,+,-,1,3,7,4,-3,u=1+3,u-7=,u=1+3. u-7=
q,-,+,9,2,9,7,16,q=9-2,q+9=,q=9-2. q+9=
c,*,+,6,5,9,30,39,c=6*5,c+9=,c=6*5. c+9=
z,+,-,5,1,6,6,0,z=5+1,z-6=,z=5+1. z-6=
y,*,+,1,4,1,4,5,y=1*4,y+1=,y=1*4. y+1=
o,+,+,9,2,5,11,16,o=9+2,o+5=,o=9+2. o+5=
z,*,-,1,5,3,5,2,z=1*5,z-3=,z=1*5. z-3=
t,-,*,3,7,3,-4,-12,t=3-7,t*3=,t=3-7. t*3=
o,+,-,5,5,6,10,4,o=5+5,o-6=,o=5+5. o-6=
o,//,-,2,4,6,0,-6,o=2//4,o-6=,o=2//4. o-6=
u,+,+,2,2,5,4,9,u=2+2,u+5=,u=2+2. u+5=
o,-,//,9,9,2,0,0,o=9-9,o//2=,o=9-9. o//2=
r,+,//,7,4,3,11,3,r=7+4,r//3=,r=7+4. r//3=
z,-,//,3,6,9,-3,-1,z=3-6,z//9=,z=3-6. z//9=
t,-,//,1,6,4,-5,-2,t=1-6,t//4=,t=1-6. t//4=
l,//,*,9,9,5,1,5,l=9//9,l*5=,l=9//9. l*5=
f,*,+,5,9,9,45,54,f=5*9,f+9=,f=5*9. f+9=
u,*,-,7,5,1,35,34,u=7*5,u-1=,u=7*5. u-1=
t,//,//,7,8,9,0,0,t=7//8,t//9=,t=7//8. t//9=
a,*,//,8,4,9,32,3,a=8*4,a//9=,a=8*4. a//9=
k,-,//,6,2,5,4,0,k=6-2,k//5=,k=6-2. k//5=
b,*,-,4,1,9,4,-5,b=4*1,b-9=,b=4*1. b-9=
n,+,*,3,2,8,5,40,n=3+2,n*8=,n=3+2. n*8=
q,-,+,9,2,5,7,12,q=9-2,q+5=,q=9-2. q+5=
